date,Symbol,monthly_avg,monthly_base,compounded_total,index,Name,Exchange,Sector,Industry,DateAdded,Founded,City,State,Country,2021Price,2021Marketcap,2021Ebitda,2021Revenuegrowth,2021Fulltimeemployees
2016-07,MCO,0.006233283172638049,1.2049259327971402,4.415890567284089,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-08,MCO,0.001112160186529381,1.033908484451886,4.565626723926072,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-09,MCO,-0.00012224461817077006,0.9963391545740167,4.54891267021704,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-10,MCO,-0.0034417885494247213,0.9017375607358105,4.101925415241736,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-11,MCO,3.427738493512665e-05,1.0010288328101193,4.1061456106935985,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-12,MCO,-0.0029820341901014937,0.9143016954953365,3.754255893807891,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2017-01,MCO,0.004816836087602389,1.1550667881680339,4.336416297221592,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2017-02,MCO,0.0038070974744445034,1.1207477142795632,4.860028653275746,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2017-03,MCO,0.0002828572204374351,1.008520612240371,4.901439072907401,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2017-04,MCO,0.0029063352434618964,1.090966063492031,5.347303690815817,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2017-05,MCO,8.807584961956216e-05,1.002645652713723,5.3614507993365255,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2017-06,MCO,0.0012561980767430527,1.0383805038440665,5.567225982350235,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2017-07,MCO,0.0040020912047244615,1.1272974423278985,6.275919610764841,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
